# CO2 4.3µm, p=1013hPa T=296K. nu  sigma_Voigt_noLM  sigma_lineMixing
2338.58  3.00282176930249e-19  3.10011508142474e-19
2338.6  2.9765906765059406e-19  3.072865973598803e-19
2338.62  2.972806307468646e-19  3.068085559463689e-19
2338.64  2.989055008342055e-19  3.08334999391125e-19
2338.66  3.0241631702888137e-19  3.1174816241255523e-19
2338.68  3.07818792481853e-19  3.170527863679343e-19
2338.7  3.151576867812026e-19  3.242923461826853e-19
2338.72  3.2452535397428044e-19  3.3355815312153087e-19
2338.74  3.360995452617442e-19  3.4502734128198744e-19
2338.76  3.501720392256397e-19  3.5899161967957743e-19
2338.78  3.6717491516030543e-19  3.758838673802285e-19
2338.8  3.8770654073474006e-19  3.963048453949651e-19
2338.82  4.1253899395588116e-19  4.2103203952147158e-19
2338.84  4.425385688599771e-19  4.509427481548877e-19
2338.86  4.783451704619434e-19  4.866976919527069e-19
2338.88  5.196159460003866e-19  5.279893831633276e-19
2338.9  5.640088276793948e-19  5.725241143672439e-19
2338.92  6.071503079016918e-19  6.159658838807729e-19
2338.94  6.446307002364296e-19  6.538789440801032e-19
2338.96  6.752771027589196e-19  6.849769488745782e-19
2338.98  7.032227329348662e-19  7.132661305179855e-19
2339.0  7.355235761655818e-19  7.457522902120542e-19
2339.02  7.78212008575592e-19  7.8849245147259e-19
2339.04  8.3523138435844295e-19  8.454780049522259e-19
2339.06  9.095145139582762e-19  9.19681527197141e-19
2339.08  1.0041985359153947e-18  1.014265625803519e-18
2339.1  1.1233564814910727e-18  1.1333181191324826e-18
2339.12  1.272316025225713e-18  1.2821745355194146e-18
2339.14  1.457824258405431e-18  1.4675832923023472e-18
2339.16  1.688854398244128e-18  1.6985109220666546e-18
2339.18  1.9791615758110176e-18  1.988703858671507e-18
2339.2  2.3514139633373233e-18  2.3608326717689132e-18
2339.22  2.841016519188172e-18  2.850313002927e-18
2339.24  3.49840111310077e-18  3.507582489639776e-18
2339.26  4.391753441875168e-18  4.4008280868779794e-18
2339.28  5.606937218905619e-18  5.615917564822138e-18
2339.3  7.225939979267846e-18  7.234850770139783e-18
2339.32  9.240148663817631e-18  9.24903914735723e-18
2339.34  1.1349215851171356e-17  1.1358168270273063e-17
2339.36  1.2786610580065522e-17  1.2795719538316841e-17
2339.38  1.2727091833900263e-17  1.2736399360916826e-17
2339.4  1.1209899727127142e-17  1.121935422063794e-17
2339.42  9.087506524295282e-18  9.097009690077655e-18
2339.44  7.096113380708527e-18  7.105583087519587e-18
2339.46  5.506767027860807e-18  5.5161546224147194e-18
2339.48  4.31625390978837e-18  4.3255350246295106e-18
2339.5  3.4405130933284606e-18  3.4496764111107712e-18
2339.52  2.7950880844055996e-18  2.804128751713166e-18
2339.54  2.3148326558553555e-18  2.3237498307877424e-18
2339.56  1.953582315034891e-18  1.962379854278183e-18
2339.58  1.6796025967529767e-18  1.688292926322996e-18
2339.6  1.4712475932990319e-18  1.4798598492283033e-18
2339.62  1.313460822334692e-18  1.3220547942353223e-18
2339.64  1.1947215697283314e-18  1.2034063024566484e-18
2339.66  1.1040070927101076e-18  1.1129509809843374e-18
2339.68  1.0286480731360802e-18  1.0380460625857123e-18
2339.7  9.563340048578095e-19  9.663093452122338e-19
2339.72  8.816896471185019e-19  8.92203732364451e-19
2339.74  8.084821386539509e-19  8.19365202971613e-19
2339.76  7.429784100313663e-19  7.540393183969949e-19
2339.78  6.873819055166289e-19  6.984783546639854e-19
2339.8  6.391707969758433e-19  6.502193527061444e-19
2339.82  5.943056250440325e-19  6.052667485116324e-19
2339.84  5.5013781577913945e-19  5.609984977134346e-19
2339.86  5.071015662865136e-19  5.178643525197939e-19
2339.88  4.678618149311092e-19  4.785363209854227e-19
2339.9  4.342240314242818e-19  4.448202529084454e-19
2339.92  4.062384288363719e-19  4.167645846848147e-19
2339.94  3.8311504634292213e-19  3.935777237393368e-19
2339.96  3.639488830259815e-19  3.7435340070647675e-19
2339.98  3.479583229341228e-19  3.5830909332854253e-19
2340.0  3.3454098789536534e-19  3.4484210911596735e-19
2340.02  3.233051719967345e-19  3.335607253596475e-19
