# H2O 3800-3825, p=1013hPa T=250K. nu  sigma_Voigt  sigma_HartmannTran
3801.348  5.807672342969339e-19  5.804889502352925e-19
3801.352  5.983965808337711e-19  5.987273264585199e-19
3801.356  6.160248382055821e-19  6.170346724613636e-19
3801.36  6.335549689489669e-19  6.353124256058043e-19
3801.364  6.508794536640638e-19  6.534493517345954e-19
3801.368  6.678808108874018e-19  6.7132174384827095e-19
3801.372  6.844325026439307e-19  6.887940667821889e-19
3801.376  7.004002652993997e-19  7.057201233567915e-19
3801.38  7.156438899110037e-19  7.2194480390323e-19
3801.384  7.300194552097933e-19  7.373064579951113e-19
3801.388  7.433819899807037e-19  7.516398938793714e-19
3801.392  7.555885113838244e-19  7.647799684408437e-19
3801.396  7.665013534852858e-19  7.765656793817833e-19
3801.4  7.7599166885329955e-19  7.8684462012623e-19
3801.404  7.839429588125262e-19  7.954776022030019e-19
3801.408  7.90254468163644e-19  8.023432113724254e-19
3801.412  7.948442714411808e-19  8.0734203485440945e-19
3801.416  7.976518816844829e-19  8.104002930462804e-19
3801.42  7.986402312538524e-19  8.114726305234179e-19
3801.424  7.977969058969742e-19  8.105438683425757e-19
3801.428  7.951345563144283e-19  8.076295895327864e-19
3801.432  7.906904618348189e-19  8.027755146101143e-19
3801.436  7.845252736478608e-19  7.960557140574908e-19
3801.44  7.767210151715062e-19  7.875697891439723e-19
3801.444  7.673784596798705e-19  7.774392212177068e-19
3801.448  7.566140365884106e-19  7.658031365560768e-19
3801.452  7.445564354449795e-19  7.52813751640057e-19
3801.456  7.31343080282491e-19  7.38631761817265e-19
3801.46  7.171166375378447e-19  7.234219052202155e-19
3801.464  7.020217007558892e-19  7.073488930087436e-19
3801.468  6.862017677845895e-19  6.905738445763969e-19
3801.472  6.697965947683703e-19  6.73251312978226e-19
3801.476  6.529399791432302e-19  6.555269360003237e-19
3801.48  6.35757993734349e-19  6.375357059234977e-19
3801.484  6.183676681270118e-19  6.194008184051904e-19
3801.488  6.008760925811932e-19  6.012330381925491e-19
3801.492  5.833799046993697e-19  5.831305063039569e-19
3801.496  5.659651093927945e-19  5.651789081751689e-19
3801.5  5.487071779125449e-19  5.474519233739022e-19
3801.504  5.316713710752896e-19  5.300118831377561e-19
3801.508  5.1491323412520045e-19  5.129105702786949e-19
3801.512  4.984792152420919e-19  4.961901057992445e-19
3801.516  4.824073655392033e-19  4.798838766652444e-19
3801.52  4.66728084796504e-19  4.640174688342451e-19
3801.524  4.514648837425784e-19  4.486095785089603e-19
3801.528  4.366351398068763e-19  4.336728821723851e-19
3801.532  4.222508288942378e-19  4.192148524034646e-19
3801.536  4.083192206005628e-19  4.052385116365786e-19
3801.54  3.9484352834726866e-19  3.917431200094861e-19
3801.544  3.81823509292314e-19  3.7872479649032482e-19
3801.548  3.6925601142682223e-19  3.661770745275729e-19
3801.552  3.5713546727418365e-19  3.540913948888408e-19
3801.556  3.4545433504123874e-19  3.4245753917189874e-19
3801.56  3.3420348903707847e-19  3.312640078406808e-19
3801.564  3.2337256186881157e-19  3.2049834679390506e-19
3801.568  3.1295024126052224e-19  3.101474263601767e-19
3801.572  3.029245245863089e-19  3.0019767651529363e-19
